result_position,endpoint_pair,edge_count
686,Al-Si,96
687,Al-Si,96
688,Al-Si,96
689,Al-Si,96
690,Al-Si,96
691,Al-Si,96
692,Al-Si,96
693,Al-Si,96
694,Al-Si,96
695,Al-Si,96
696,Al-Si,96
697,Al-Si,96
698,Al-Si,96
699,Al-Si,96
700,Al-Si,96
701,Al-Si,96
702,Al-Si,96
703,Al-Si,96
704,Al-Si,96
705,Al-Si,96
706,Al-Si,96
707,Al-Si,96
708,Al-Si,96
709,Al-Si,96
710,Al-Si,96
711,Al-Si,96
712,Al-Si,96
713,Al-Si,96
714,Al-Si,96
715,Al-Si,96
716,Al-Si,96
717,Al-Si,96
718,Al-Si,96
719,Al-Si,96
720,Al-Si,96
721,Al-Si,96
722,Al-Si,96
723,Al-Si,96
724,Al-Si,96
725,Al-Si,96
726,Al-Si,96
727,Al-Si,96
728,Al-Si,96
729,Al-Si,96
730,Al-Si,96
731,Al-Si,96
732,Al-Si,96
733,Al-Si,96
734,Al-Si,96
735,Al-Si,96
736,Al-Si,96
737,Al-Si,96
738,Al-Si,96
739,Al-Si,96
740,Al-Si,96
741,Al-Si,96
742,Al-Si,96
743,Al-Si,96
744,Al-Si,96
745,Al-Si,96
746,Al-Si,96
747,Al-Si,96
748,Al-Si,96
749,Al-Si,96
750,Al-Si,96
751,Al-Si,96
752,Al-Si,96
753,Al-Si,96
754,Al-Si,96
755,Al-Si,96
756,Al-Si,96
757,Al-Si,96
758,Al-Si,96
759,Al-Si,96
760,Al-Si,96
761,Al-Si,96
762,Al-Si,96
763,Al-Si,96
764,Al-Si,96
765,Al-Si,96
766,Al-Si,96
767,Al-Si,96
768,Al-Si,96
769,Al-Si,96
770,Al-Si,96
771,Al-Si,96
772,Al-Si,96
773,Al-Si,96
774,Al-Si,96
775,Al-Si,96
776,Al-Si,96
777,Al-Si,96
778,Al-Si,96
779,Al-Si,96
780,Al-Si,96
781,Al-Si,96
782,Al-Si,96
783,Al-Si,96
784,Al-Si,96
785,Al-Si,96
786,Al-Si,96
787,Al-Si,96
788,Al-Si,96
789,Al-Si,96
790,Al-Si,96
791,Al-Si,96
792,Al-Si,96
793,Al-Si,96
794,Al-Si,96
795,Al-Si,96
796,Al-Si,96
797,Al-Si,96
798,Al-Si,96
799,Al-Si,96
800,Al-Si,96
801,Al-Si,96
802,Al-Si,96
803,Al-Si,96
804,Al-Si,96
805,Al-Si,96
806,Al-Si,96
807,Al-Si,96
808,Al-Si,96
809,Al-Si,96
810,Al-Si,96
811,Al-Si,96
812,Al-Si,96
813,Al-Si,96
814,Al-Si,96
815,Al-Si,96
816,Al-Si,96
817,Al-Si,96
818,Al-Si,96
819,Al-Si,96
820,Al-Si,96
821,Al-Si,96
822,Al-Si,96
823,Al-Si,96
824,Al-Si,96
825,Al-Si,96
826,Al-Si,96
827,Al-Si,96
828,Al-Si,96
829,Al-Si,96
830,Al-Si,96
831,Al-Si,96
832,Al-Si,96
833,Al-Si,96
834,Al-Si,96
835,Al-Si,96
836,Al-Si,96
837,Al-Si,96
838,Al-Si,96
839,Al-Si,96
840,Al-Si,96
841,Al-Si,96
842,Al-Si,96
843,Al-Si,96
844,Al-Si,96
845,Al-Si,96
846,Al-Si,96
847,Al-Si,96
848,Al-Si,96
849,Al-Si,96
850,Al-Si,96
851,Al-Si,96
852,Al-Si,96
853,Al-Si,96
854,Al-Si,96
855,Al-Si,96
856,Al-Si,96
857,Al-Si,96
858,Al-Si,96
859,Al-Si,96
860,Al-Si,96
861,Al-Si,96
862,Al-Si,96
863,Al-Si,96
864,Al-Si,96
865,Al-Si,96
866,Al-Si,96
867,Al-Si,96
868,Al-Si,96
869,Al-Si,96
870,Al-Si,96
871,Al-Si,96
872,Al-Si,96
873,Al-Si,96
874,Al-Si,96
875,Al-Si,96
876,Al-Si,96
877,Al-Si,96
878,Al-Si,96
879,Al-Si,96
