result_position,bridge_signature,rule_id,edge_count
397,Al-O-Si,T-O-T,96
398,Al-O-Si,T-O-T,96
399,Al-O-Si,T-O-T,96
400,Al-O-Si,T-O-T,96
401,Al-O-Si,T-O-T,96
402,Al-O-Si,T-O-T,96
403,Al-O-Si,T-O-T,96
404,Al-O-Si,T-O-T,96
405,Al-O-Si,T-O-T,96
406,Al-O-Si,T-O-T,96
407,Al-O-Si,T-O-T,96
408,Al-O-Si,T-O-T,96
409,Al-O-Si,T-O-T,96
410,Al-O-Si,T-O-T,96
411,Al-O-Si,T-O-T,96
412,Al-O-Si,T-O-T,96
413,Al-O-Si,T-O-T,96
414,Al-O-Si,T-O-T,96
415,Al-O-Si,T-O-T,96
416,Al-O-Si,T-O-T,96
417,Al-O-Si,T-O-T,96
418,Al-O-Si,T-O-T,96
419,Al-O-Si,T-O-T,96
420,Al-O-Si,T-O-T,96
421,Al-O-Si,T-O-T,96
422,Al-O-Si,T-O-T,96
423,Al-O-Si,T-O-T,96
424,Al-O-Si,T-O-T,96
425,Al-O-Si,T-O-T,96
426,Al-O-Si,T-O-T,96
427,Al-O-Si,T-O-T,96
428,Al-O-Si,T-O-T,96
429,Al-O-Si,T-O-T,96
430,Al-O-Si,T-O-T,96
431,Al-O-Si,T-O-T,96
432,Al-O-Si,T-O-T,96
433,Al-O-Si,T-O-T,96
434,Al-O-Si,T-O-T,96
435,Al-O-Si,T-O-T,96
436,Al-O-Si,T-O-T,96
437,Al-O-Si,T-O-T,96
438,Al-O-Si,T-O-T,96
439,Al-O-Si,T-O-T,96
440,Al-O-Si,T-O-T,96
441,Al-O-Si,T-O-T,96
442,Al-O-Si,T-O-T,96
443,Al-O-Si,T-O-T,96
444,Al-O-Si,T-O-T,96
445,Al-O-Si,T-O-T,96
446,Al-O-Si,T-O-T,96
447,Al-O-Si,T-O-T,96
448,Al-O-Si,T-O-T,96
449,Al-O-Si,T-O-T,96
450,Al-O-Si,T-O-T,96
451,Al-O-Si,T-O-T,96
452,Al-O-Si,T-O-T,96
453,Al-O-Si,T-O-T,96
454,Al-O-Si,T-O-T,96
